"","plot.index","mod","OM","P","Kppm","Mgppm","Cappm","pH","CEC","K","Mg","Ca","C","N","C.N","spalpha.light","spalpha.l","spalpha.o","spalpha.r"
"48",12,"d",0.204049642729578,0.549076467493686,0.85035762744717,-0.402339061536845,-0.784300929021229,-0.824543185999362,1.23094892440866,-0.720574096874815,-1.14756419612254,-1.26604568651064,0.256426926796374,0.90389194179829,-0.838323854637906,-0.347800968601768,0.386528307682667,-1.26987372967831,0.0907782594025397
"5",13,"a",-0.432742962117317,-0.304389580904282,2.63665069923838,1.60500016912149,1.27243187047599,1.21229751125773,-0.008050679688742,0.911955611325339,1.15648077884299,1.09967888141639,-0.388330926115517,0.316808596798222,-1.13655073302677,0.603199733956837,-1.21403494289991,-1.26987372967831,0.978626719461435
"6",13,"b",-0.844785235841779,0.0498308335422072,3.17666242936362,1.35960266762162,1.17332132939074,1.13560186480538,-0.145717302366231,1.24432852045911,1.07177324299867,1.07561801945319,-0.821853496302309,-0.0208241463395585,-1.49792780997999,0.00146154020955892,-0.914173679877862,-1.26987372967831,0.978626719461435
"7",13,"c",-0.657493293239751,-0.803635214855761,1.88073512941496,1.50841677466147,1.30353360483135,1.21229751125773,0.00724561171986783,0.581536470915617,1.00400721432321,1.133077998554,-0.599838738047307,-0.174957941961791,-0.802417151786219,0.389644005356796,-1.08885484435188,-1.26987372967831,0.978626719461435
"8",13,"d",-0.432742962117317,-0.803635214855761,1.22084375717941,1.35960266762162,1.27243187047599,1.36226289437219,-0.191606176592061,0.507858460666901,1.13953927167413,1.2749283397832,-0.388330926115517,0.171461258081673,-0.911021442981478,0.0448374777869345,0.559257790394601,-1.26987372967831,0.978626719461435
"65",14,"a",0.878300636096879,1.50109840032304,1.26103979149659,0.461822231762491,-0.153644216471346,-0.601241211899706,-0.375161673495379,0.786672632542912,0.326346927568647,-0.331313265552484,0.885635342467969,1.00599699024052,0.0416976197570265,-0.523964167197642,0.204923788942192,0.701618866914775,-1.50715964332267
"66",14,"b",-0.0581590769132611,0.549076467493686,0.101322754829009,0.586091888240826,-0.280017723215617,-0.387444382100362,-0.589309753215917,0.507858460666901,0.851533649803436,-0.290048938186798,0.00834812508541167,0.518609634985762,-0.696409229410003,0.772990413154633,-0.649990603788378,0.701618866914775,-1.76699916075119
"67",14,"c",0.0167577001275499,-0.304389580904282,0.238787858025495,0.524492824559279,-0.423288188714886,-0.387444382100362,-0.818754124345066,0.971597079614382,1.30895434336277,-0.225760871390037,0.0714891850497543,0.42861410720621,-0.458488762334234,-0.216353660956518,0.0129170185274749,-1.26987372967831,0.978626719461435
"68",14,"d",-0.507659739158129,0.0498308335422072,-0.278064308023324,-0.239985004800701,-0.588681803068789,-0.493205494000309,-0.941124455613945,0.911955611325339,0.394112956244104,-0.26569881709787,-0.457756710627386,-0.242334201442247,-0.425518695411117,0.81529370171732,0.0129170185274749,0.701618866914775,-1.99940669043556
"102",15,"a",-0.882243624362185,0.549076467493686,-0.995169011186218,0.87973497769221,0.984602128864726,0.978605735597202,-0.436346839129819,-0.216627198295007,0.953182692816621,1.09007523434905,-0.898480652204027,-0.942014038143232,-0.108637237219517,0.857539707481388,-2.03327114869792,-1.26987372967831,0.978626719461435
"103",15,"b",-1.51903622920908,0.73888084852536,-1.74070599462026,0.586091888240826,0.70310240388,1.28783979591786,-0.696383793076187,-0.330513488176051,1.08871475016754,0.99743150992672,-1.7608230983482,-1.8095351196968,-0.392791952232116,0.983936340895609,-3.15078597469995,-1.26987372967831,0.978626719461435
"104",15,"c",-0.882243624362185,0.32458553255401,-0.83498730216643,0.991264583534098,0.942520864525003,0.978605735597202,-0.451643130538429,-0.109252348066211,1.13953927167413,1.05381416567056,-0.898480652204027,-0.814306467889867,-0.328054253969692,0.81529370171732,-2.03327114869792,-1.26987372967831,0.978626719461435
"105",15,"d",-0.957160401402996,0.32458553255401,-1.04944931569273,0.87973497769221,0.755451064333172,0.733509943089099,-0.436346839129819,-0.330513488176051,0.953182692816621,0.758753183393388,-0.976540463456965,-0.72684043788098,-0.661629023090103,0.303805591934401,-2.03327114869792,-1.26987372967831,0.978626719461435
